"","Basin","Year","Transect","Interval","NperHa","STRATUM","name","area_km2","geometry"
"822","WB",2016,1,20,14355.69933,"1","Detroit R.",929,c(-83.14000933, 41.83859767)
"823","WB",2016,1,21,20412.36677,"1","Detroit R.",929,c(-83.13372167, 41.84627833)
"824","WB",2016,1,22,13646.47165,"1","Detroit R.",929,c(-83.12733611, 41.85388741)
"825","WB",2016,1,23,8492.734115,"1","Detroit R.",929,c(-83.120955, 41.86153)
"826","WB",2016,1,24,9234.830979,"1","Detroit R.",929,c(-83.11468167, 41.86926333)
"827","WB",2016,1,25,5453.703778,"1","Detroit R.",929,c(-83.10827, 41.87684258)
"828","WB",2016,1,26,2577.618413,"1","Detroit R.",929,c(-83.10211979, 41.88457323)
"829","WB",2016,1,27,2356.452654,"1","Detroit R.",929,c(-83.09565, 41.89213342)
"830","WB",2016,1,28,3437.826805,"1","Detroit R.",929,c(-83.08969, 41.899437)
"831","WB",2016,1,29,3202.321086,"1","Detroit R.",929,c(-83.08373881, 41.90678786)
"832","WB",2016,1,30,3373.974696,"1","Detroit R.",929,c(-83.07759542, 41.91440842)
"833","WB",2016,1,31,2512.494796,"1","Detroit R.",929,c(-83.071305, 41.92198167)
"834","WB",2016,1,32,1731.06823,"1","Detroit R.",929,c(-83.065035, 41.92963917)
"835","WB",2016,1,33,2934.871054,"1","Detroit R.",929,c(-83.05886154, 41.93735808)
"836","WB",2016,1,34,1902.429984,"1","Detroit R.",929,c(-83.05238814, 41.94493392)
"837","WB",2016,1,35,1962.089618,"1","Detroit R.",929,c(-83.04606846, 41.95264897)
"838","WB",2016,1,36,4130.011647,"1","Detroit R.",929,c(-83.03995667, 41.96023775)
"839","WB",2016,1,37,3679.381039,"1","Detroit R.",929,c(-83.03362617, 41.96786158)
"840","WB",2016,1,38,6122.803029,"1","Detroit R.",929,c(-83.02711983, 41.97551792)
"841","WB",2016,1,39,7107.013369,"1","Detroit R.",929,c(-83.02098417, 41.9832274)
"842","WB",2016,1,40,4874.688344,"1","Detroit R.",929,c(-83.01453918, 41.99094817)
"871","WB",2016,2,29,4475.42517,"1","Detroit R.",929,c(-82.901991, 41.82583508)
"872","WB",2016,2,30,4794.03322,"1","Detroit R.",929,c(-82.90228, 41.8347725)
"873","WB",2016,2,31,5893.375651,"1","Detroit R.",929,c(-82.9028265, 41.84366525)
"874","WB",2016,2,32,4527.454354,"1","Detroit R.",929,c(-82.90304033, 41.85269533)
"875","WB",2016,2,33,7842.290971,"1","Detroit R.",929,c(-82.90314222, 41.86164656)
"876","WB",2016,2,34,6401.954058,"1","Detroit R.",929,c(-82.90382944, 41.87055667)
"877","WB",2016,2,35,6097.789918,"1","Detroit R.",929,c(-82.90401578, 41.87946735)
"878","WB",2016,2,36,6214.614636,"1","Detroit R.",929,c(-82.90478142, 41.88839158)
"879","WB",2016,2,37,3347.000057,"1","Detroit R.",929,c(-82.90496333, 41.89735833)
"880","WB",2016,2,38,7585.169002,"1","Detroit R.",929,c(-82.9051155, 41.90630875)
"881","WB",2016,2,39,2865.160741,"1","Detroit R.",929,c(-82.90562677, 41.91518823)
"882","WB",2016,2,40,4384.702108,"1","Detroit R.",929,c(-82.90613971, 41.9241049)
"883","WB",2016,2,41,4245.905431,"1","Detroit R.",929,c(-82.90651667, 41.93301536)
"884","WB",2016,2,42,3206.061269,"1","Detroit R.",929,c(-82.90684467, 41.94198233)
"885","WB",2016,2,43,3383.924102,"1","Detroit R.",929,c(-82.90719125, 41.95094567)
"886","WB",2016,2,44,4125.562709,"1","Detroit R.",929,c(-82.9076345, 41.95995658)
"899","WB",2017,1,13,2932,"1","Detroit R.",929,c(-83.179719, 41.787771)
"900","WB",2017,1,14,3828,"1","Detroit R.",929,c(-83.173451, 41.795459)
"901","WB",2017,1,15,4084,"1","Detroit R.",929,c(-83.167271, 41.803176)
"902","WB",2017,1,16,4307,"1","Detroit R.",929,c(-83.161161, 41.810918)
"903","WB",2017,1,17,2676,"1","Detroit R.",929,c(-83.154609, 41.818392)
