RSYOY,RSYAO,ES,YPYOY,OTHER,LAT,LONG,Sdepth,Fdepth,Layer,Year
93,30,924,0,71,42.561,-81.474,11.9,6,0,2013
63,0,0,8,2,42.066,-81.74866667,25.1,5,0,2019
49,0,2,0,224,42.0405,-81.74516667,24.3,5,0,2017
0,0,43,0,0,42.30366667,-81.35616667,22.6,5,0,2011
64,3,0,0,0,42.36616667,-81.3785,22.5,5,0,2009
39,0,0,2,3,42.318,-81.36716667,22.5,5,0,2017
1,0,219,0,8,41.93733333,-81.446,22.2504,5,0,2012
1,0,243,0,1,41.90883333,-82.13966667,21.9,5,0,2011
88,0,0,26,0,42.38083333,-80.91766667,21.6,5,0,2019
0,0,17,0,0,42.41733333,-80.92483333,21.5,5,0,2011
0,0,169,0,7,42.05866667,-82.21766667,21.2,5,0,2011
12,0,94,0,21,41.91566667,-82.1545,21,5,0,2013
28,0,0,1,62,42.05983333,-82.22,21,5,0,2017
0,0,0,4,71,42.20416667,-81.80366667,20.9,5,0,2018
1,0,35,3,4,42.03566667,-82.20733333,20.8,5,0,2013
23,0,0,158,9,42.2427,-80.5543,20.7,5,0,2014
135,1,0,2,51,42.21216667,-81.80733333,20.4,5,0,2017
0,0,553,1,1,42.22233333,-81.81166667,19.8,5,0,2011
24,0,0,87,0,42.533,-80.973,19.8,5,0,2019
2,0,31,0,1,42.48616667,-81.44533333,19.7,5,0,2011
248,0,0,1,39,42.49066667,-81.437,19,5,0,2017
7,0,266,126,0,42.2939,-81.2639,18.8,5,0,2014
3,0,0,5,18,42.54183333,-80.97416667,18.6,5,0,2018
58,0,23,421,53,42.3165,-80.5846,18.5,5,0,2014
99,67,1,0,1,42.23916667,-81.818,18.2,5,0,2017
0,0,140,0,1,42.56266667,-80.98916667,18,5,0,2011
0,0,2,0,0,42.5125,-81.4295,17.3,5,0,2009
0,10,2534,0,2,42.241,-81.82516667,17.3,5,0,2011
455,15,0,0,7,42.13133333,-82.26166667,17.1,5,0,2017
1,0,500,3,63,42.135,-82.25566667,15.5,5,0,2013
221,2,0,1,5,42.54483333,-81.45933333,15.4,5,0,2017
340,0,0,5,2,42.606,-80.99933333,15.2,5,0,2017
0,47,122,0,10,42.61166667,-81.01266667,14.9,5,0,2011
71,1,0,6,0,42.54516667,-81.46066667,14.4,5,0,2010
0,0,2,3,18,42.622,-81.008,14.2,5,0,2018
214,0,0,229,0,42.6245,-81.007,13.5,5,0,2019
15,0,41,2,17,42.1552,-81.4957,12.4,5,0,2014
2,0,0,17,14,42.56466667,-81.4695,12.1,5,0,2018
90,2,681,25,117,42.3375,-81.2831,11.5,5,0,2014
22,1,336,0,9,42.55616667,-81.47416667,11.2,5,0,2012
0,62,16,0,0,42.15816667,-82.2655,10,5,0,2010
0,1069,41,0,9,42.567,-81.47333333,10,5,0,2011
183,5,0,1,0,42.55,-81.4645,14.1,4,0,2016
2,0,314,4,7,42.25783333,-81.8285,11.9,4,0,2012
23,2,3,0,4,42.0415,-81.027,21.9456,3.6576,0,2013
0,0,233,2,47,41.73516667,-81.82616667,21.0312,3,0,2012
28,0,3,0,0,42.48575,-81.439067,19,3,0,2011
13,0,0,79,9,42.07,-81.74416667,24.7,,,2018
