Lat_M,Lon_M,Date_M,Time_M,LAYER,TRANSECT,FishDensity,Targets_Binned,BottomDepth,N_YAOSized,YAO_FishDens,Stratum,ScaleDensity
42.40777811,-80.11417604,###############################################################################################################################################################################################################################################################,4:21:44,LO,T1B,2012.444385,220,37.316863,155,1417.858544,1,-10.79230099
42.41243957,-79.64689652,###############################################################################################################################################################################################################################################################,6:13:29,LO,T21B,194.2978287,47,38.457466,4,16.53598542,2.1,-291.0568126
42.41305,-80.28301667,###############################################################################################################################################################################################################################################################,3:01:23,LO,T1A,1780.724948,158,32.721195,100,1127.041106,1,-68.95578851
42.41315539,-79.9547518,###############################################################################################################################################################################################################################################################,8:10:26,LO,T22A,622.1453407,214,42.704474,14,40.70109706,2.2,-286.2237903
42.41483761,-80.1157292,###############################################################################################################################################################################################################################################################,4:26:08,LO,T1B,1927.819386,214,37.775405,158,1423.343285,1,-9.695352654
42.41483761,-80.1157292,###############################################################################################################################################################################################################################################################,4:26:08,LO,T1B,1927.819386,214,37.775405,158,1423.343285,1,-9.695352654
42.41937987,-79.64933773,###############################################################################################################################################################################################################################################################,6:09:00,LO,T21B,805.4456692,73,38.859055,9,99.30152085,2.1,-274.5037055
42.42006667,-80.28525,###############################################################################################################################################################################################################################################################,2:56:57,LO,T1A,1504.216521,127,33.014854,61,722.4976991,1,-149.8644699
42.42016198,-79.95697622,###############################################################################################################################################################################################################################################################,8:14:56,LO,T22A,864.4745512,201,43.634033,18,77.41563145,2.2,-278.8808834
42.42189693,-80.11743231,###############################################################################################################################################################################################################################################################,4:30:31,LO,T1B,4116.485721,512,38.514411,462,3714.485162,1,448.5330228
42.42189693,-80.11743231,###############################################################################################################################################################################################################################################################,4:30:31,LO,T1B,4116.485721,512,38.514411,462,3714.485162,1,448.5330228
42.42631869,-79.65184512,###############################################################################################################################################################################################################################################################,6:04:31,LO,T21B,613.1293823,65,39.360732,2,18.86551945,2.1,-290.5909058
42.42705478,-80.28747937,###############################################################################################################################################################################################################################################################,2:52:29,LO,T1A,1584.293722,179,32.888084,140,1239.112409,1,-46.54152799
42.42713925,-79.95932975,###############################################################################################################################################################################################################################################################,8:19:29,LO,T22A,852.01732,207,44.491317,44,181.1051308,2.2,-258.1429836
42.42894362,-80.11923333,###############################################################################################################################################################################################################################################################,4:34:53,LO,T1B,4895.232057,450,39.75757,408,4438.343731,1,593.3047365
42.42894362,-80.11923333,###############################################################################################################################################################################################################################################################,4:34:53,LO,T1B,4895.232057,450,39.75757,408,4438.343731,1,593.3047365
42.433271,-79.65429033,###############################################################################################################################################################################################################################################################,6:00:04,LO,T21B,351.9213293,50,40.417475,0,0,2.1,-294.3640097
42.43401667,-80.28985,###############################################################################################################################################################################################################################################################,2:48:01,LO,T1A,2244.617962,189,32.662775,151,1793.319112,1,64.29981272
42.43404705,-79.96183791,###############################################################################################################################################################################################################################################################,8:24:02,LO,T22A,673.3489142,220,44.851196,34,104.063014,2.2,-273.5514069
42.43599092,-80.12108031,###############################################################################################################################################################################################################################################################,4:39:15,LO,T1B,2228.464712,279,42.307916,208,1661.364373,1,37.90886496
42.43599092,-80.12108031,###############################################################################################################################################################################################################################################################,4:39:15,LO,T1B,2228.464712,279,42.307916,208,1661.364373,1,37.90886496
42.44023064,-79.65669355,###############################################################################################################################################################################################################################################################,5:55:38,LO,T21B,341.3143931,62,40.370187,0,0,2.1,-294.3640097
42.4410123,-79.9643041,###############################################################################################################################################################################################################################################################,8:28:36,LO,T22A,678.0044074,197,44.446086,28,96.36610866,2.2,-275.090788
42.44195,-80.29241667,###############################################################################################################################################################################################################################################################,2:42:15,LO,T1A,11968.01999,324,32.430869,288,10638.23999,1,1833.283988
42.44302584,-80.12289195,###############################################################################################################################################################################################################################################################,4:43:36,LO,T1B,1595.784146,168,45.552869,85,807.3907879,1,-132.8858521
42.44302584,-80.12289195,###############################################################################################################################################################################################################################################################,4:43:36,LO,T1B,1595.784146,168,45.552869,85,807.3907879,1,-132.8858521
42.44746743,-79.65897248,###############################################################################################################################################################################################################################################################,5:51:02,LO,T21B,737.5891765,51,40.962417,0,0,2.1,-294.3640097
42.4478543,-80.29401774,###############################################################################################################################################################################################################################################################,2:36:31,LO,T1A,10493.71061,486,31.939608,458,9889.134694,1,1683.462929
42.44794717,-79.96686478,###############################################################################################################################################################################################################################################################,8:33:11,LO,T22A,1052.219548,206,44.137438,38,194.0987516,2.2,-255.5442594
42.4500848,-80.12471667,###############################################################################################################################################################################################################################################################,4:47:58,LO,T1B,829.6666405,113,48.293259,26,190.8967491,1,-256.1846599
42.4500848,-80.12471667,###############################################################################################################################################################################################################################################################,4:47:58,LO,T1B,829.6666405,113,48.293259,26,190.8967491,1,-256.1846599
42.45482491,-80.29637497,###############################################################################################################################################################################################################################################################,2:32:06,LO,T1A,6295.731306,452,30.946856,403,5613.229461,1,828.2818825
